src,dst,spec,slots_used,core_src,core_dst,tfk_slot
0,3,0,3,0,0,47.6
0,4,3,3,0,0,47.6
0,13,6,3,0,0,47.6
0,15,9,3,0,0,47.6
0,16,12,3,0,0,47.6
99,94,0,18,0,0,402.4
0,17,15,3,0,0,47.6
0,19,18,3,0,0,47.6
0,20,21,3,0,0,47.6
99,79,18,18,0,0,402.4
99,18,36,18,0,0,402.4
0,21,24,3,0,0,47.6
98,19,0,18,0,0,402.4
0,27,27,3,0,0,47.6
0,28,30,3,0,0,47.6
0,33,33,3,0,0,47.6
94,70,18,18,0,0,402.4
94,67,36,18,0,0,402.4
92,37,0,18,0,0,402.4
91,23,0,18,0,0,402.4
0,35,36,3,0,0,47.6
0,36,39,3,0,0,47.6
89,18,0,18,0,0,402.4
0,43,42,3,0,0,47.6
88,92,18,18,0,0,402.4
0,44,45,3,0,0,47.6
0,48,48,3,0,0,47.6
88,54,0,18,0,0,402.4
88,40,36,18,0,0,402.4
88,35,54,18,0,0,402.4
88,20,0,18,1,0,402.4
82,35,0,18,0,0,402.4
82,10,18,18,0,0,402.4
81,2,0,18,0,0,402.4
80,78,0,18,0,0,402.4
0,51,51,3,0,0,47.6
0,54,54,3,0,0,47.6
0,55,57,3,0,0,47.6
80,18,18,18,0,0,402.4
80,11,36,18,0,0,402.4
79,62,0,18,0,0,402.4
77,66,0,18,0,0,402.4
76,89,18,18,0,0,402.4
76,39,0,18,0,0,402.4
75,88,18,18,0,1,402.4
74,78,18,18,0,0,402.4
0,57,60,3,0,0,47.6
74,53,0,18,0,0,402.4
72,6,0,18,0,0,402.4
71,74,36,18,0,0,402.4
71,68,0,18,0,0,402.4
69,44,0,18,0,0,402.4
0,60,63,3,0,0,47.6
0,61,66,3,0,0,47.6
67,71,18,18,0,0,402.4
66,87,18,18,0,0,402.4
0,62,69,3,0,0,47.6
0,63,72,3,0,0,47.6
66,80,54,18,0,0,402.4
0,70,75,3,0,0,47.6
63,58,0,18,0,0,402.4
62,89,36,18,0,0,402.4
61,25,0,18,0,0,402.4
59,3,3,18,0,0,402.4
0,72,18,3,1,0,47.6
0,74,54,3,1,0,47.6
0,78,36,3,1,0,47.6
0,79,39,3,1,0,47.6
0,83,0,3,1,0,47.6
0,91,21,3,1,0,47.6
0,92,42,3,1,0,47.6
57,97,0,18,0,0,402.4
0,97,24,3,1,0,47.6
1,0,3,3,0,1,47.6
55,93,0,18,0,0,402.4
1,2,18,3,0,0,47.6
1,3,21,3,0,0,47.6
1,4,0,3,0,0,47.6
1,6,24,3,0,0,47.6
1,8,6,3,0,0,47.6
55,61,18,18,0,0,402.4
55,29,36,18,0,0,402.4
1,14,9,3,0,0,47.6
54,45,18,18,0,0,402.4
1,23,27,3,0,0,47.6
1,26,12,3,0,0,47.6
54,44,57,18,0,0,402.4
51,75,0,18,0,0,402.4
1,30,15,3,0,0,47.6
51,34,18,18,0,0,402.4
1,36,30,3,0,0,47.6
50,36,0,18,0,0,402.4
1,41,33,3,0,0,47.6
50,22,18,18,0,0,402.4
50,17,36,18,0,0,402.4
1,45,36,3,0,0,47.6
48,58,18,18,0,0,402.4
1,49,39,3,0,0,47.6
48,36,51,18,0,0,402.4
1,55,54,3,0,0,47.6
1,58,42,3,0,0,47.6
1,62,57,3,0,0,47.6
1,68,45,3,0,0,47.6
47,87,0,18,0,0,402.4
1,70,48,3,0,0,47.6
1,80,72,3,0,0,47.6
47,38,18,18,0,0,402.4
47,3,36,18,0,0,402.4
46,43,0,18,0,0,402.4
46,22,36,18,0,0,402.4
44,88,18,18,0,2,402.4
1,81,51,3,0,0,47.6
1,88,75,3,0,0,47.6
1,92,60,3,0,0,47.6
1,96,63,3,0,0,47.6
2,0,27,3,0,1,47.6
44,81,18,18,1,0,402.4
2,1,66,3,0,0,47.6
44,32,0,18,1,0,402.4
2,3,24,3,0,0,47.6
2,5,21,3,0,0,47.6
43,78,45,18,0,0,402.4
40,67,0,18,0,0,402.4
37,57,18,18,0,0,402.4
35,59,18,18,0,1,402.4
30,66,36,18,0,0,402.4
2,6,30,3,0,0,47.6
30,37,54,18,0,0,402.4
29,10,0,18,0,0,402.4
2,9,33,3,0,0,47.6
2,12,36,3,0,0,47.6
2,16,39,3,0,0,47.6
2,17,54,3,0,0,47.6
2,20,42,3,0,0,47.6
2,24,45,3,0,0,47.6
25,50,54,18,0,0,402.4
2,26,48,3,0,0,47.6
2,28,51,3,0,0,47.6
25,46,18,18,0,0,402.4
2,30,72,3,0,0,47.6
24,60,0,18,0,0,402.4
2,33,57,3,0,0,47.6
2,38,60,3,0,0,47.6
21,83,3,18,0,0,402.4
21,28,33,18,0,0,402.4
19,33,36,18,0,0,402.4
2,41,63,3,0,0,47.6
15,94,54,18,0,0,402.4
14,47,54,18,0,0,402.4
14,24,18,18,0,0,402.4
10,32,36,18,0,0,402.4
2,42,69,3,0,0,47.6
2,45,75,3,0,0,47.6
9,75,36,18,0,0,402.4
7,59,21,18,0,0,402.4
2,49,0,3,1,0,47.6
5,23,30,18,0,0,402.4
2,52,3,3,1,0,47.6
4,82,36,18,0,0,402.4
2,58,36,3,1,0,47.6
2,62,18,3,1,0,47.6
2,64,6,3,1,0,47.6
2,74,57,3,1,0,47.6
3,75,54,18,0,0,402.4
2,81,39,3,1,0,47.6
2,84,9,3,1,0,47.6
2,60,60,18,1,1,402.4
2,86,12,3,1,0,47.6
2,89,54,3,1,0,47.6
2,37,36,18,2,0,402.4
2,91,24,3,1,0,47.6
2,93,21,3,1,0,47.6
2,99,15,3,1,1,47.6
1,87,36,18,1,0,402.4
3,1,27,3,0,1,47.6
3,7,72,3,0,0,47.6
3,9,30,3,0,0,47.6
98,24,48,18,0,0,400.8
3,14,75,3,0,0,47.6
98,3,18,18,0,1,400.8
97,65,27,18,0,0,400.8
97,57,45,18,0,1,400.8
3,46,33,3,0,1,47.6
97,54,36,18,1,0,400.8
3,54,75,3,1,0,47.6
96,95,0,18,0,0,400.8
3,58,39,3,1,0,47.6
96,78,18,18,0,1,400.8
3,60,36,3,1,0,47.6
3,61,42,3,1,0,47.6
3,65,0,3,1,0,47.6
3,78,63,3,1,0,47.6
96,60,39,18,0,0,400.8
3,79,45,3,1,0,47.6
3,84,3,3,1,0,47.6
3,94,72,3,1,0,47.6
96,57,36,18,1,0,400.8
95,45,39,18,0,0,400.8
3,95,57,3,1,0,47.6
3,97,66,3,1,0,47.6
95,17,18,18,0,0,400.8
95,0,60,18,0,1,400.8
94,89,57,18,1,0,400.8
94,83,21,18,1,0,400.8
3,99,54,3,1,0,47.6
4,7,6,3,0,0,47.6
4,9,9,3,0,0,47.6
94,78,0,18,1,1,400.8
4,11,12,3,0,0,47.6
4,12,15,3,0,0,47.6
4,13,18,3,0,0,47.6
94,41,39,18,1,0,400.8
94,37,0,18,2,1,400.8
4,14,72,3,0,0,47.6
4,15,21,3,0,0,47.6
4,17,57,3,0,0,47.6
4,19,24,3,0,0,47.6
93,6,33,18,0,0,400.8
92,78,36,18,1,1,400.8
4,20,27,3,0,0,47.6
92,7,54,18,1,0,400.8
91,49,42,18,0,0,400.8
4,22,54,3,0,0,47.6
4,23,60,3,0,0,47.6
4,25,75,3,0,0,47.6
90,97,0,18,0,1,400.8
88,87,54,18,1,0,400.8
4,27,30,3,0,0,47.6
88,56,36,18,1,0,400.8
4,29,33,3,0,0,47.6
4,32,63,3,0,0,47.6
87,40,18,18,1,0,400.8
86,96,15,18,0,1,400.8
84,66,12,18,0,1,400.8
4,36,69,3,0,0,47.6
4,37,66,3,0,1,47.6
84,32,30,18,0,1,400.8
4,38,0,3,1,0,47.6
84,31,48,18,0,0,400.8
4,39,18,3,1,0,47.6
4,45,3,3,1,0,47.6
4,47,72,3,1,0,47.6
83,12,39,18,0,0,400.8
4,48,6,3,1,0,47.6
4,49,9,3,1,0,47.6
4,53,21,3,1,0,47.6
82,80,54,18,0,1,400.8
4,55,60,3,1,0,47.6
4,56,12,3,1,0,47.6
4,57,54,3,1,0,47.6
82,73,0,18,1,0,400.8
82,3,18,18,1,2,400.8
4,58,45,3,1,0,47.6
81,74,60,18,0,0,400.8
81,21,51,18,1,0,400.8
80,29,0,18,1,1,400.8
80,7,18,18,1,1,400.8
4,60,24,3,1,0,47.6
4,62,27,3,1,0,47.6
4,64,15,3,1,0,47.6
4,66,75,3,1,0,47.6
4,67,57,3,1,0,47.6
80,1,36,18,1,2,400.8
4,68,30,3,1,0,47.6
